"Loc_finAL_test.Id","Loc_finAL_test.Salary"
72689140,43217.213341348
72691299,38720.0224942938
72692098,38720.0224942938
72692101,46642.2235188884
72692142,38720.0224942938
72691554,37641.6036051305
72690253,43217.213341348
72662600,34115.9279317183
72691254,29066.8640282877
72690876,38720.0224942938
72689289,38720.0224942938
72691662,43217.213341348
72678475,31682.9073254933
72697147,34115.9279317183
72636295,41333.9872895096
72636324,41333.9872895096
72670127,21322.5851369795
72670131,21322.5851369795
72670249,21322.5851369795
72678688,39961.1018200683
72678939,43217.213341348
72679989,31030.9408317857
72683622,25256.6068723345
72691096,34115.9279317183
72678983,34115.9279317183
72692111,32753.6900584599
72690312,43217.213341348
72702851,38720.0224942938
72702963,44989.4255397232
72678308,43217.213341348
72678792,34115.9279317183
72679943,32438.3222368365
72688597,49486.6163867774
72690812,28303.6576428205
72690824,37952.3103709227
72697182,34115.9279317183
72689495,31030.9408317857
72690912,43217.213341348
72691991,31559.9846586051
72690645,31682.9073254933
72691989,31559.9846586051
72678239,41501.9298700462
72688518,38245.8183487666
72691143,38670.047505846
72673526,28303.6576428205
72675747,31030.9408317857
72675818,43217.213341348
72635222,30315.6731332636
72635503,30315.6731332636
72635618,30315.6731332636
72690130,39416.9585428933
72692546,39416.9585428933
72680099,28328.9408831825
72696935,30315.6731332636
72688741,39416.9585428933
72633879,30315.6731332636
72683799,28953.4352600051
72670205,17522.3303385248
72684404,31334.7538974873
72637254,17754.1601213164
72635627,30315.6731332636
72678527,39416.9585428933
72695677,39416.9585428933
72670765,17522.3303385248
72695764,39416.9585428933
72670034,17522.3303385248
72679485,39416.9585428933
72670675,17522.3303385248
72690282,30315.6731332636
72690319,39416.9585428933
72637250,27230.686033331
72635578,30315.6731332636
72673712,9944.72594519809
72673885,25064.6083959518
72672330,28303.6576428205
72672372,28303.6576428205
72691946,32968.7200234034
72691957,39003.3502991598
72679893,23382.3293857781
72689926,26817.0777895976
72691113,26817.0777895976
72678907,39003.3502991598
72679898,18798.7987973499
72691060,23382.3293857781
72679982,26817.0777895976
72689860,39003.3502991598
72692729,23382.3293857781
72678142,28754.8569812152
72678056,26817.0777895976
72678505,27346.1216164169
72691980,35657.428338391
72679045,27346.1216164169
72690844,21076.7185709875
72689672,27346.1216164169
72692014,29651.7324312075
72688436,23382.3293857781
72678610,27346.1216164169
72679048,27346.1216164169
72690039,29902.0648895302
72691061,24089.7946006323
72679973,18798.7987973499
72678800,27346.1216164169
72678588,26817.0777895976
72690850,19194.2785249693
72689880,26817.0777895976
72691426,24089.7946006323
72691996,29651.7324312075
72679900,29902.0648895302
72678394,33086.480835027
72679046,27346.1216164169
72689967,45272.7533445892
72695746,27346.1216164169
72695788,39003.3502991598
72680147,20850.7453537637
72689729,26817.0777895976
72688716,39003.3502991598
72679044,27346.1216164169
72688582,39003.3502991598
